year,month,flights,distance
2017,1,441131,26577.7898244
2017,2,404205,23789.9387017
2017,3,480070,26486.1622913
2017,4,460931,25700.390905
2017,5,482444,26380.8800906
2017,6,488887,26109.7120891
2017,7,503313,27309.8996913
2017,8,499444,26998.4327029
2017,9,443384,25404.6756822
2017,10,476494,26199.6051369
2017,11,452744,25494.4237581
2017,12,458881,27100.5380728
2018,1,552949,24742.5677532
2018,2,511755,22312.6627184
2018,3,594707,24949.0379858
2018,4,589795,23994.5694767
2018,5,609374,24853.8374482
2018,6,615499,24460.7431988
2018,7,634216,25490.0194729
2018,8,632320,25082.2272243
2018,9,577617,23899.6835977
2018,10,611616,24460.2813423
2018,11,579924,23835.5188255
2018,12,587090,25169.9939838
2019,1,567259,24914.0171903
2019,2,517920,22485.8648235
2019,3,619510,25078.7642198
2019,4,597535,24106.8699744
2019,5,623378,24843.179108
2019,6,623464,24335.0771088
2019,7,646101,25311.5665258
2019,8,647163,24994.4737222
